Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Larry Siegfried,,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA
Ruben Patterson,92.3,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2,0.1,NA
P.J. Tucker,87.9,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Loy Vaught,87.9,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Jim Pollard,87.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Harrison Barnes,86.7,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
Kenny Carr,85.6,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA
Wil Jones,85.5,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Campy Russell,85.5,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA,NA
Gus Johnson,85.1,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
Carl Landry,85.1,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA
