Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tony Bennett,,0.9,0.7,0,NA,NA
Tarence Kinsey,91.4,0.9,0.6,0,NA,NA
LaBradford Smith,86.7,0.8,0.8,-0.1,NA,NA
Stan Pietkiewicz,86.2,1,0.6,0,NA,NA
Phil Rollins,85.0,1.1,0.7,0.1,NA,NA
Kris Dunn,84.6,0.9,0.6,0.1,NA,NA
Zoran Planinić,84.3,0.8,0.7,0.1,NA,NA
Charlie Davis,83.2,0.8,0.7,-0.1,NA,NA
Carlos Terry,83.0,0.8,0.8,-0.1,NA,NA
Sundiata Gaines,81.8,1,0.5,-0.1,NA,NA
Litterial Green,79.1,0.8,0.8,0.1,0,-0.1
