Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
John Tresvant,,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1
Jason Thompson,94.5,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA
Wilson Chandler,91.7,3.9,3.6,3.5,3.1,3.1,3.1,2.7,0.5,-0.1
Trevor Booker,91.5,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA
Dwight Jones,89.7,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3
Vladimir Radmanović,89.7,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8,0
Allan Bristow,87.7,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5
Ollie Johnson,87.0,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3
Tom McMillen,86.5,3.9,3.7,2.9,2.9,2.5,2.4,2.2,2,0.8
Jonas Jerebko,86.0,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4
Malik Rose,86.0,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.4
