Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1964-65,25,STL,NBA,PF,4,NA,8.8,1,2.8,0.364,1.5,2.3,0.667,4.5,1.5,2.3,3.5
1965-66,26,TOT,NBA,PF,61,NA,15.9,2.8,6.6,0.428,2.3,3.1,0.747,6,1.2,2.9,7.9
1965-66,26,STL,NBA,PF,15,NA,14.2,2.5,5.2,0.474,1.8,2.1,0.844,5.7,0.7,2.9,6.7
1965-66,26,DET,NBA,PF,46,NA,16.4,2.9,7,0.416,2.5,3.4,0.728,6.1,1.3,3,8.3
1966-67,27,DET,NBA,PF,68,NA,22.8,3.8,8.6,0.438,2.4,3.4,0.701,7.1,1.3,3.6,9.9
1967-68,28,TOT,NBA,PF,85,NA,29.1,4.7,10.2,0.457,2.9,4.5,0.651,8.3,1.9,4,12.3
1967-68,28,DET,NBA,PF,55,NA,30.4,5,10.9,0.461,3.3,5.1,0.658,9.8,2.1,4.3,13.3
1967-68,28,CIN,NBA,PF,30,NA,26.7,4,9,0.448,2.2,3.5,0.632,5.6,1.5,3.5,10.3
1968-69,29,TOT,NBA,PF,77,NA,32.2,4.9,10.6,0.463,2.6,4.3,0.612,8.9,2.2,3.9,12.5
1968-69,29,CIN,NBA,PF,51,NA,33,4.7,10.4,0.45,2.5,4.4,0.583,8.2,2,3.8,11.9
1968-69,29,SEA,NBA,PF,26,NA,30.8,5.4,11.1,0.488,2.8,4.1,0.673,10.3,2.4,4.1,13.6
1969-70,30,TOT,NBA,PF,69,NA,21.7,3.8,8.6,0.444,3,4.1,0.725,6.2,1.6,3,10.6
1969-70,30,SEA,NBA,PF,49,NA,26.1,4.4,10.3,0.428,3.7,5.1,0.735,7.4,1.9,3.3,12.6
1969-70,30,LAL,NBA,PF,20,NA,11.1,2.4,4.4,0.534,1.2,1.8,0.657,3.2,0.9,2,5.9
1970-71,31,TOT,NBA,PF,75,NA,20.2,2.7,5.8,0.463,1.9,2.7,0.712,5.1,1.1,2.6,7.3
1970-71,31,LAL,NBA,PF,8,NA,8.3,2.3,4.4,0.514,0.9,1.3,0.7,2.9,1.3,1.4,5.4
1970-71,31,BAL,NBA,PF,67,NA,21.7,2.7,6,0.459,2.1,2.9,0.713,5.4,1.1,2.8,7.6
1971-72,32,BAL,NBA,PF,65,NA,18.9,2.5,5.5,0.45,1.9,2.3,0.818,5,1.3,2.7,6.8
1972-73,33,BAL,NBA,PF,55,NA,9.8,1.5,3.3,0.467,0.7,1.1,0.695,2.8,0.6,1.8,3.8
Career,NA,,NBA,,559,NA,22,3.4,7.6,0.451,2.3,3.3,0.693,6.3,1.4,3.1,9.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BAL,NBA,,187,NA,17.2,2.3,5,0.457,1.6,2.1,0.749,4.5,1,2.5,6.2
3 seasons,NA,DET,NBA,,169,NA,23.6,3.9,8.9,0.442,2.7,4,0.69,7.7,1.6,3.7,10.6
2 seasons,NA,CIN,NBA,,81,NA,30.7,4.4,9.9,0.449,2.4,4.1,0.599,7.3,1.8,3.7,11.3
2 seasons,NA,SEA,NBA,,75,NA,27.7,4.8,10.6,0.45,3.4,4.7,0.716,8.4,2.1,3.6,12.9
2 seasons,NA,LAL,NBA,,28,NA,10.3,2.3,4.4,0.528,1.1,1.6,0.667,3.1,1,1.8,5.7
2 seasons,NA,STL,NBA,,19,NA,13.1,2.2,4.7,0.461,1.7,2.2,0.805,5.4,0.8,2.7,6.1
