Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
John Tresvant,,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,NA,NA,NA
Jason Thompson,94.5,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA,NA,NA,NA
Trevor Booker,91.5,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA,NA,NA,NA
Dwight Jones,88.1,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA
Allan Bristow,87.2,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA
Keith Erickson,86.7,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2
Ollie Johnson,86.5,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA
Wilson Chandler,86.1,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,1.5,0.5,-0.1,NA
Jonas Jerebko,86.0,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA,NA,NA
Vladimir Radmanović,85.7,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0
Nate Williams,84.5,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA
