Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Slick Watts,,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Tim Hardaway,89.2,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
Whitey Skoog,86.3,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA
Elliot Perry,86.0,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
Fred Carter,85.5,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA,NA
Roger Mason,84.5,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Al Skinner,84.5,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA
Erick Strickland,84.4,4.9,3.8,2.7,1.3,0.8,0.8,0.3,-0.3,-0.9,NA
Winston Garland,84.1,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA
Billy Kenville,83.9,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA
Lee Winfield,83.4,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA
