Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Slick Watts,,4.7,3.3,2.7,1.2,1.2,0.8
Marquis Daniels,90.8,4.2,3.2,2.5,1.3,0.9,0.6
Tim Hardaway,89.2,4.8,3.1,2.6,1.9,1.8,0.8
Dudley Bradley,87.8,3.9,3.1,2.4,1.4,1.1,1
Beno Udrih,87.7,5.5,3.1,2.4,1.3,1.2,1
Whitey Skoog,86.3,4.1,3.6,2.9,1.9,1,0.7
Darnell Valentine,86.0,5,3.7,3.4,1.7,1.1,1
Aaron Brooks,85.7,5.5,3.6,2.2,1.4,1.1,0.8
John Battle,85.0,4,3.2,2.3,1.7,1.5,1
Carlos Arroyo,84.9,4.7,2.7,2.5,1.3,0.4,0.3
Todd Day,84.7,4.8,3.2,2.6,2.1,1.9,0.1
