Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,23,SEA,NBA,PG,9,NA,282,7,15.1,0.462,2.3,4.2,0.538,1.6,3.7,5.4,10.4,4.4,0.6,NA,4.9,16.2,NA,NA,97
1975-76,24,SEA,NBA,PG,6,NA,197,6.9,15.9,0.435,2.5,5.3,0.478,1.2,3,4.1,11.3,2.8,0.5,NA,6.4,16.3,NA,NA,107
1978-79,27,HOU,NBA,PG,2,NA,43,6.9,17.3,0.4,2.3,3.5,0.667,4.6,3.5,8.1,8.1,4.6,1.2,8.1,9.2,16.1,NA,79,105
Career,NA,,NBA,,17,NA,522,6.9,15.6,0.446,2.4,4.6,0.519,1.7,3.4,5.1,10.6,3.8,0.6,0.6,5.8,16.3,NA,79,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,15,NA,479,7,15.4,0.451,2.4,4.7,0.51,1.4,3.4,4.9,10.8,3.7,0.6,NA,5.5,16.3,NA,NA,101
1 season,NA,HOU,NBA,,2,NA,43,6.9,17.3,0.4,2.3,3.5,0.667,4.6,3.5,8.1,8.1,4.6,1.2,8.1,9.2,16.1,NA,79,105
