Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,22,SEA,NBA,PG,62,NA,1424,6.1,15.6,0.388,3.1,4.7,0.645,2.2,3.4,5.6,10.7,3.5,0.4,NA,6.3,15.2,NA,NA,97
1974-75,23,SEA,NBA,PG,82,NA,2056,5.1,12.2,0.421,2.1,3.4,0.608,2.1,3.7,5.8,11,4.2,0.3,NA,5.6,12.3,NA,NA,95
1975-76,24,SEA,NBA,PG,82,NA,2776,7,16.3,0.427,3.2,5.5,0.578,1.8,4.1,5.9,10.6,4.2,0.3,NA,4.3,17.1,NA,NA,96
1976-77,25,SEA,NBA,PG,79,NA,2627,7.3,17.4,0.422,2.9,5,0.587,1.4,3.9,5.3,10.8,3.7,0.4,NA,4.4,17.6,NA,NA,97
1977-78,26,TOT,NBA,PG,71,NA,1584,6.2,15.9,0.392,2.6,4.4,0.59,1.7,3.4,5.1,8.4,3.1,0.9,4.8,5.2,15.1,NA,86,98
1977-78,26,SEA,NBA,PG,32,NA,809,6.2,15.4,0.404,1.7,3,0.566,1.2,3.4,4.6,7.5,3,0.8,5.2,5,14.2,NA,82,97
1977-78,26,NOJ,NBA,PG,39,NA,775,6.2,16.4,0.381,3.5,5.9,0.602,2.2,3.4,5.6,9.2,3.1,1,4.3,5.5,16,NA,90,99
1978-79,27,HOU,NBA,PG,61,NA,1046,4.1,10,0.405,1.8,3,0.612,1.5,3,4.6,10.7,3.2,0.6,3.1,6.3,9.9,NA,100,106
Career,NA,,NBA,,437,NA,11513,6.2,15.1,0.413,2.7,4.6,0.597,1.8,3.7,5.5,10.4,3.7,0.4,0.9,5.1,15.2,NA,91,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SEA,NBA,,337,NA,9692,6.5,15.6,0.417,2.7,4.6,0.595,1.8,3.8,5.5,10.5,3.9,0.4,0.4,5,15.7,NA,82,96
1 season,NA,HOU,NBA,,61,NA,1046,4.1,10,0.405,1.8,3,0.612,1.5,3,4.6,10.7,3.2,0.6,3.1,6.3,9.9,NA,100,106
1 season,NA,NOJ,NBA,,39,NA,775,6.2,16.4,0.381,3.5,5.9,0.602,2.2,3.4,5.6,9.2,3.1,1,4.3,5.5,16,NA,90,99
