Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,22,SEA,NBA,PG,62,1424,14.7,0.429,0.304,4.7,7.9,6.2,32.1,3.5,0.5,NA,NA,NA,-0.5,1.6,1.2,0.039,NA,-1.6,1,-0.6,0.5
1974-75,23,SEA,NBA,PG,82,2056,15.2,0.45,0.278,4.7,8.4,6.5,31.8,4.2,0.3,NA,NA,NA,-0.1,2.8,2.7,0.063,NA,-1.2,1.8,0.6,1.3
1975-76,24,SEA,NBA,PG,82,2776,17.2,0.457,0.339,4.1,9.6,6.8,32.2,4.2,0.3,NA,NA,NA,0.9,3.8,4.7,0.08,NA,0.3,1.5,1.8,2.6
1976-77,25,SEA,NBA,PG,79,2627,16.3,0.449,0.289,3,9.2,6,34,3.7,0.5,NA,NA,NA,-0.3,3.6,3.3,0.06,NA,-0.2,0.9,0.7,1.8
1977-78,26,TOT,NBA,PG,71,1584,10.9,0.423,0.28,3.7,7.6,5.6,24.8,3.1,1,21.1,19.1,NA,-1.3,2.1,0.8,0.025,NA,-2.6,1.3,-1.4,0.2
1977-78,26,SEA,NBA,PG,32,809,9.3,0.423,0.195,2.5,7.9,5.1,22.4,3,0.9,23.8,18.2,NA,-1,1.2,0.2,0.009,NA,-3.5,1.2,-2.3,-0.1
1977-78,26,NOJ,NBA,PG,39,775,12.7,0.423,0.36,4.9,7.2,6.1,27.3,3.1,1.1,18.7,19.9,NA,-0.3,0.9,0.7,0.041,NA,-1.7,1.3,-0.4,0.3
1978-79,27,HOU,NBA,PG,61,1046,11.3,0.439,0.295,3.7,7,5.4,27.2,3.2,0.7,21.7,12.3,NA,0.4,0.8,1.2,0.057,NA,-1.2,1.7,0.5,0.7
Career,NA,,NBA,,437,11513,14.9,0.444,0.301,3.9,8.6,6.2,31,3.7,0.5,21.3,16.4,NA,-0.8,14.7,13.8,0.058,NA,-0.9,1.3,0.5,7.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SEA,NBA,,337,9692,15.5,0.447,0.297,3.9,8.9,6.3,31.8,3.9,0.4,23.8,18.2,NA,-1,12.9,11.9,0.059,NA,-0.8,1.3,0.5,6.2
1 season,NA,HOU,NBA,,61,1046,11.3,0.439,0.295,3.7,7,5.4,27.2,3.2,0.7,21.7,12.3,NA,0.4,0.8,1.2,0.057,NA,-1.2,1.7,0.5,0.7
1 season,NA,NOJ,NBA,,39,775,12.7,0.423,0.36,4.9,7.2,6.1,27.3,3.1,1.1,18.7,19.9,NA,-0.3,0.9,0.7,0.041,NA,-1.7,1.3,-0.4,0.3
