Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Lance Blanks,,0.4,0.2,0.1,NA
Drew Barry,86.2,0.3,0.2,0.1,NA
Milt Williams,77.8,0.4,0.2,0.1,0.1
Bob Duffy,75.3,0.3,0.1,0.1,NA
Derrick Dial,73.0,0.4,0.1,0.1,0.1
Julyan Stone,70.9,0.4,0.3,0.2,0.1
Anthony Roberson,69.9,0.2,0.2,0.1,NA
Briante Weber,69.8,0.4,0.3,0,NA
Elliot Williams,66.6,0.3,0.3,0.1,0
Randy Woods,66.5,0.3,0.2,0.1,0.1
Jorge Gutiérrez,65.7,0.3,0.3,0.2,NA
