Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Amal McCaskill,,0.6,0,0,-0.2
Marcus Haislip,81.0,0.6,0.1,0,-0.2
Joby Wright,49.6,0.6,0,-0.1,NA
Samardo Samuels,49.5,0.7,0,-0.1,NA
Okaro White,45.0,0.6,0.2,0,NA
Linton Townes,43.0,0.7,0,-0.1,NA
Pape Sow,36.3,0.6,0.2,0.1,NA
Mel Bennett,36.2,0.7,0.3,0.1,-0.1
Donny Marshall,36.2,0.6,0.2,0.2,-0.1
Ken Durrett,33.1,0.5,0.1,0,0
Jarnell Stokes,31.1,0.5,0.1,0.1,NA
