Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tex Ritter,,2.4,2.3,1,NA,NA,NA,NA
Maurice McHartley,88.3,2.4,1.8,0.8,NA,NA,NA,NA
Louie Nelson,88.3,2.9,2.3,1.1,0,0,NA,NA
Álex Abrines,87.0,2.2,2.1,0.6,NA,NA,NA,NA
Dick Garrett,85.6,2.4,2.3,1.6,0.1,-0.2,NA,NA
Casey Jacobsen,83.1,2.7,2.6,1.2,-0.3,NA,NA,NA
James Robinson,81.9,2.3,1.9,1.2,0.2,0.2,0,-0.1
Rodney McGruder,80.7,2.9,1.9,0.8,NA,NA,NA,NA
Chris Quinn,80.0,2.6,2.1,0.6,0.1,0.1,-0.2,NA
Kenny Higgs,79.8,2.2,1.5,1,NA,NA,NA,NA
Tom Garrick,79.4,2.5,1.8,1.4,0.2,NA,NA,NA
