Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Nikola Mirotić,,5.7,4,3.9,3.8,3.5
Mark Olberding,91.9,5.1,4.3,4.2,3.9,3.1
Louis Orr,91.2,4.8,4.3,4.3,3.8,3.5
Darnell Hillman,90.7,6.2,4.4,4.2,3.3,3.2
Robert Horry,90.2,5.9,4.9,4.2,3.6,2.9
Glenn Robinson,88.3,4.7,4,3.5,3.2,3.1
Chuck Person,87.6,5.4,5.4,3.9,3.3,3
Josh Smith,87.3,5.8,4.9,4.4,3.6,2.4
Taj Gibson,87.0,5.7,5.2,4.7,4.5,3.3
Larry Smith,86.3,6.1,5.2,4.7,4,3.1
Morris Peterson,86.1,5.1,4.9,4.9,3.6,3.2
