Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Nikola Mirotić,,5.7,4,3.9,3.8,3.5,NA,NA,NA,NA,NA,NA
Hakim Warrick,85.5,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA,NA,NA
DeJuan Blair,83.5,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA,NA
Wayne Hightower,82.4,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8,NA
Julius Keye,81.8,5.3,4.3,3.6,3.6,1.2,-0.2,NA,NA,NA,NA,NA
Tyler Hansbrough,81.6,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA,NA
Jan van Breda Kolff,81.3,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA,NA
George Carter,81.1,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA,NA,NA
Robert Covington,80.5,6.1,4,3.1,2.5,2,0.1,NA,NA,NA,NA,NA
Popeye Jones,79.6,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3,0,0
Scott May,79.6,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA,NA
