,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,,12,,,,,,11,,,,,,,,,32
1962-63,24,DET,NBA,,14,,,,,,14,,,,,,,,,37
1963-64,25,DET,NBA,,13,,,,,,11,16,,,,,,,,30
1964-65,26,DET,NBA,,19,,,,,,10,13,,,,,,,,39
1965-66,27,DET,NBA,,13,,,,,,13,18,,,,,,,,33
1966-67,28,TOT,NBA,,15,,,,,,11,16,,,,,,,,37
1966-67,28,DET,NBA,,15,,,,,,11,14,,,,,,,,34
1966-67,28,BAL,NBA,,14,,,,,,11,16,,,,,,,,37
1967-68,29,BAL,NBA,,12,,,,,,11,14,,,,,,,,31
1968-69,30,BAL,NBA,,14,,,,,,7,9,,,,,,,,28
1969-70,31,BAL,NBA,,12,,,,,,8,10,,,,,,,,28
1970-71,32,VIR,ABA,,11,,1,,,,8,12,,,,,,,,28
1971-72,33,VIR,ABA,,9,,1,,,,7,7,,,,,,,,21
Career,,,TOT,,19,,,,,,14,,,,,,,,,39
,,,NBA,,19,,,,,,14,,,,,,,,,39
,,,ABA,,11,,1,,,,8,12,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,
6 Seasons,,DET,NBA,,19,,,,,,14,,,,,,,,,39
4 Seasons,,BAL,NBA,,14,,,,,,11,16,,,,,,,,37
2 Seasons,,VIR,ABA,,11,,1,,,,8,12,,,,,,,,28
