Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,75,NA,27.8,4.9,12.7,0.387,NA,NA,NA,4.9,12.7,0.387,0.387,3.4,5.2,0.657,NA,NA,11.5,1.8,NA,NA,3.1,13.3
1962-63,24,DET,NBA,PF,76,NA,33.4,6.1,14.6,0.414,NA,NA,NA,6.1,14.6,0.414,0.414,4.1,6,0.674,NA,NA,10.2,2.5,NA,NA,3.5,16.2
1963-64,25,DET,NBA,PF,80,NA,37.1,6.7,16.3,0.412,NA,NA,NA,6.7,16.3,0.412,0.412,4.1,5.7,0.719,NA,NA,13.5,3.1,NA,NA,3.7,17.6
1964-65,26,DET,NBA,PF,66,NA,32.8,6.1,16.5,0.368,NA,NA,NA,6.1,16.5,0.368,0.368,3.3,4.8,0.701,NA,NA,9.6,3.6,NA,NA,3.2,15.5
1965-66,27,DET,NBA,PF,79,NA,33.6,6.9,16.6,0.416,NA,NA,NA,6.9,16.6,0.416,0.416,4.1,5.5,0.743,NA,NA,9.6,3,NA,NA,2.6,17.9
1966-67,28,TOT,NBA,C-PF,72,NA,34,6.4,15.9,0.4,NA,NA,NA,6.4,15.9,0.4,0.4,3.6,5.1,0.699,NA,NA,10.6,2.2,NA,NA,3,16.3
1966-67,28,DET,NBA,C,45,NA,32.8,5.6,15.1,0.37,NA,NA,NA,5.6,15.1,0.37,0.37,3.5,4.6,0.757,NA,NA,9,1.9,NA,NA,2.9,14.7
1966-67,28,BAL,NBA,PF,27,NA,35.9,7.6,17.1,0.445,NA,NA,NA,7.6,17.1,0.445,0.445,3.7,5.9,0.625,NA,NA,13.2,2.8,NA,NA,3.1,19
1967-68,29,BAL,NBA,PF,81,NA,36.1,6,14.7,0.412,NA,NA,NA,6,14.7,0.412,0.412,4.3,5.5,0.779,NA,NA,13.7,2.1,NA,NA,3.1,16.4
1968-69,30,BAL,NBA,PF,82,NA,26.4,4.7,11.3,0.416,NA,NA,NA,4.7,11.3,0.416,0.416,2.4,3.1,0.759,NA,NA,8.8,1.6,NA,NA,2.6,11.8
1969-70,31,BAL,NBA,PF,73,NA,19.1,3.5,8.3,0.425,NA,NA,NA,3.5,8.3,0.425,0.425,1.9,2.4,0.803,NA,NA,6.3,1.6,NA,NA,2,8.9
1970-71,32,VIR,ABA,C,72,NA,21.6,5.8,13,0.45,0,0,1,5.8,12.9,0.45,0.451,2.6,3.3,0.792,2.3,5.7,8,1.7,NA,1.9,2.5,14.3
1971-72,33,VIR,ABA,PF,55,NA,14.9,3,7.1,0.415,0,0.1,0.5,2.9,7.1,0.414,0.417,1.6,2.1,0.781,1.3,3.3,4.6,0.7,NA,1,1.6,7.6
Career,NA,,TOT,,811,NA,29.2,5.5,13.5,0.409,0,0,0.6,5.5,13.5,0.409,0.409,3.3,4.5,0.727,1.8,4.7,9.8,2.2,NA,1.5,2.8,14.3
,NA,,NBA,,684,NA,31.2,5.7,14.1,0.405,NA,NA,NA,5.7,14.1,0.405,0.405,3.5,4.8,0.72,NA,NA,10.5,2.4,NA,NA,3,14.9
,NA,,ABA,,127,NA,18.7,4.6,10.4,0.44,0,0,0.6,4.6,10.4,0.439,0.441,2.2,2.8,0.789,1.8,4.7,6.5,1.3,NA,1.5,2.1,11.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,421,NA,33,6.1,15.3,0.398,NA,NA,NA,6.1,15.3,0.398,0.398,3.8,5.4,0.705,NA,NA,10.7,2.7,NA,NA,3.2,16
4 seasons,NA,BAL,NBA,,263,NA,28.3,5.1,12.1,0.42,NA,NA,NA,5.1,12.1,0.42,0.42,3,3.9,0.754,NA,NA,10.1,1.9,NA,NA,2.6,13.2
2 seasons,NA,VIR,ABA,,127,NA,18.7,4.6,10.4,0.44,0,0,0.6,4.6,10.4,0.439,0.441,2.2,2.8,0.789,1.8,4.7,6.5,1.3,NA,1.5,2.1,11.4
