Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,75,NA,2087,6.4,16.5,0.387,NA,NA,NA,6.4,16.5,0.387,4.4,6.7,0.657,NA,NA,14.9,2.3,NA,NA,4,17.2
1962-63,24,DET,NBA,PF,76,NA,2538,6.5,15.7,0.414,NA,NA,NA,6.5,15.7,0.414,4.4,6.5,0.674,NA,NA,11,2.7,NA,NA,3.7,17.4
1963-64,25,DET,NBA,PF,80,NA,2964,6.5,15.9,0.412,NA,NA,NA,6.5,15.9,0.412,4,5.5,0.719,NA,NA,13.1,3,NA,NA,3.6,17.1
1964-65,26,DET,NBA,PF,66,NA,2167,6.7,18.1,0.368,NA,NA,NA,6.7,18.1,0.368,3.7,5.2,0.701,NA,NA,10.5,4,NA,NA,3.5,17
1965-66,27,DET,NBA,PF,79,NA,2652,7.4,17.8,0.416,NA,NA,NA,7.4,17.8,0.416,4.4,5.9,0.743,NA,NA,10.2,3.2,NA,NA,2.8,19.2
1966-67,28,TOT,NBA,C-PF,72,NA,2446,6.7,16.8,0.4,NA,NA,NA,6.7,16.8,0.4,3.8,5.4,0.699,NA,NA,11.2,2.4,NA,NA,3.2,17.2
1966-67,28,DET,NBA,C,45,NA,1477,6.1,16.6,0.37,NA,NA,NA,6.1,16.6,0.37,3.8,5,0.757,NA,NA,9.8,2,NA,NA,3.2,16.1
1966-67,28,BAL,NBA,PF,27,NA,969,7.7,17.2,0.445,NA,NA,NA,7.7,17.2,0.445,3.7,5.9,0.625,NA,NA,13.2,2.8,NA,NA,3.1,19
1967-68,29,BAL,NBA,PF,81,NA,2924,6,14.6,0.412,NA,NA,NA,6,14.6,0.412,4.3,5.5,0.779,NA,NA,13.7,2.1,NA,NA,3.1,16.4
1968-69,30,BAL,NBA,PF,82,NA,2168,6.4,15.4,0.416,NA,NA,NA,6.4,15.4,0.416,3.2,4.3,0.759,NA,NA,12,2.2,NA,NA,3.5,16.1
1969-70,31,BAL,NBA,PF,73,NA,1393,6.6,15.6,0.425,NA,NA,NA,6.6,15.6,0.425,3.6,4.5,0.803,NA,NA,11.8,2.9,NA,NA,3.8,16.9
1970-71,32,VIR,ABA,C,72,NA,1552,9.7,21.6,0.45,0,0,1,9.7,21.6,0.45,4.3,5.5,0.792,3.8,9.5,13.3,2.9,NA,3.2,4.2,23.8
1971-72,33,VIR,ABA,PF,55,NA,818,7.2,17.3,0.415,0.1,0.2,0.5,7.1,17.1,0.414,3.9,5,0.781,3.1,8,11.1,1.8,NA,2.4,4,18.4
Career,NA,,TOT,,811,NA,23709,6.8,16.7,0.409,0,0.1,0.6,6.8,16.6,0.409,4,5.5,0.727,3.6,9,12.1,2.7,NA,2.9,3.5,17.7
,NA,,NBA,,684,NA,21339,6.6,16.3,0.405,NA,NA,NA,6.6,16.3,0.405,4,5.6,0.72,NA,NA,12.1,2.7,NA,NA,3.4,17.2
,NA,,ABA,,127,NA,2370,8.9,20.1,0.44,0,0.1,0.6,8.8,20.1,0.439,4.2,5.3,0.789,3.6,9,12.5,2.5,NA,2.9,4.1,21.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,421,NA,13885,6.7,16.7,0.398,NA,NA,NA,6.7,16.7,0.398,4.1,5.8,0.705,NA,NA,11.7,2.9,NA,NA,3.5,17.4
4 seasons,NA,BAL,NBA,,263,NA,7454,6.5,15.4,0.42,NA,NA,NA,6.5,15.4,0.42,3.8,5,0.754,NA,NA,12.8,2.4,NA,NA,3.4,16.7
2 seasons,NA,VIR,ABA,,127,NA,2370,8.9,20.1,0.44,0,0.1,0.6,8.8,20.1,0.439,4.2,5.3,0.789,3.6,9,12.5,2.5,NA,2.9,4.1,21.9
