Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,10,NA,40,6.9,17,0.406,NA,NA,NA,6.9,17,0.406,0.406,3.5,6.7,0.522,NA,NA,14.5,4.3,NA,NA,3.9,17.3
1962-63,24,DET,NBA,PF,4,NA,38.8,6.8,19.3,0.351,NA,NA,NA,6.8,19.3,0.351,0.351,2.3,3.3,0.692,NA,NA,12,2.3,NA,NA,4.8,15.8
1968-69,30,BAL,NBA,PF,4,NA,34.3,5.8,13,0.442,NA,NA,NA,5.8,13,0.442,0.442,1.8,2,0.875,NA,NA,8,1,NA,NA,4,13.3
1969-70,31,BAL,NBA,PF,7,NA,12.9,1.6,4.9,0.324,NA,NA,NA,1.6,4.9,0.324,0.324,1.4,2,0.714,NA,NA,3,0.6,NA,NA,1.1,4.6
1970-71,32,VIR,ABA,C,12,NA,22,6.7,13.1,0.51,0,0,NA,6.7,13.1,0.51,0.51,3.9,4.7,0.839,1.6,4.9,6.5,1.8,NA,1,3.6,17.3
1971-72,33,VIR,ABA,PF,11,NA,19.3,4.7,9.5,0.495,0,0,NA,4.7,9.5,0.495,0.495,2.5,3.5,0.737,NA,NA,5.3,1.5,NA,1.5,2.3,12
Career,NA,,TOT,,48,NA,26.2,5.5,12.4,0.44,0,0,NA,5.5,12.4,0.44,0.44,2.8,4.1,0.694,1.6,4.9,8,2,NA,1.2,3.1,13.8
,NA,,NBA,,25,NA,31.3,5.2,13.3,0.39,NA,NA,NA,5.2,13.3,0.39,0.39,2.4,4.1,0.598,NA,NA,9.8,2.4,NA,NA,3.3,12.8
,NA,,ABA,,23,NA,20.7,5.7,11.4,0.504,0,0,NA,5.7,11.4,0.504,0.504,3.3,4.1,0.798,1.6,4.9,5.9,1.7,NA,1.2,3,14.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,VIR,ABA,,23,NA,20.7,5.7,11.4,0.504,0,0,NA,5.7,11.4,0.504,0.504,3.3,4.1,0.798,1.6,4.9,5.9,1.7,NA,1.2,3,14.7
2 seasons,NA,DET,NBA,,14,NA,39.6,6.9,17.6,0.389,NA,NA,NA,6.9,17.6,0.389,0.389,3.1,5.7,0.55,NA,NA,13.8,3.7,NA,NA,4.1,16.9
2 seasons,NA,BAL,NBA,,11,NA,20.6,3.1,7.8,0.395,NA,NA,NA,3.1,7.8,0.395,0.395,1.5,2,0.773,NA,NA,4.8,0.7,NA,NA,2.2,7.7
