Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,23,DET,NBA,PF,10,400,15,0.434,NA,0.394,NA,NA,NA,14.2,NA,NA,NA,NA,0,0.1,0.1,0.014
1962-63,24,DET,NBA,PF,4,155,10.8,0.381,NA,0.169,NA,NA,NA,9.2,NA,NA,NA,NA,-0.4,0.2,-0.1,-0.044
1968-69,30,BAL,NBA,PF,4,137,12.2,0.477,NA,0.154,NA,NA,NA,4.1,NA,NA,NA,NA,0.1,0,0.1,0.042
1969-70,31,BAL,NBA,PF,7,90,9.9,0.398,NA,0.412,NA,NA,NA,6.3,NA,NA,NA,NA,-0.1,0.1,0,-0.007
1970-71,32,VIR,ABA,C,12,264,25.5,0.57,0,0.357,NA,NA,NA,11.9,NA,6.2,NA,NA,0.9,0.2,1.1,0.208
1971-72,33,VIR,ABA,PF,11,212,20.8,0.542,0,0.362,NA,NA,12.6,10.9,NA,11.6,24.3,NA,0.4,0.4,0.8,0.17
Career,NA,,TOT,,48,1258,17,0.484,0,0.329,NA,NA,12.6,10.9,NA,8.5,24.3,NA,0.9,1.1,2,0.075
,NA,,NBA,,25,782,13.1,0.425,NA,0.306,NA,NA,NA,10.5,NA,NA,NA,NA,-0.4,0.5,0.1,0.005
,NA,,ABA,,23,476,23.4,0.559,0,0.359,NA,NA,12.6,11.4,NA,8.5,24.3,NA,1.3,0.6,1.9,0.191
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,VIR,ABA,,23,476,23.4,0.559,0,0.359,NA,NA,12.6,11.4,NA,8.5,24.3,NA,1.3,0.6,1.9,0.191
2 seasons,NA,DET,NBA,,14,555,13.8,0.418,NA,0.324,NA,NA,NA,12.8,NA,NA,NA,NA,-0.4,0.3,0,-0.002
2 seasons,NA,BAL,NBA,,11,227,11.3,0.444,NA,0.256,NA,NA,NA,5,NA,NA,NA,NA,0,0.1,0.1,0.023
