,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,,14,,,,,,8,12,,,,,,,,34
1962-63,24,DET,NBA,,12,25,,,,,5,6,,,15,6,,,5,29
1968-69,30,BAL,NBA,,9,17,,,,,4,4,,,9,2,,,5,22
1969-70,31,BAL,NBA,,5,,,,,,3,4,,,,,,,,11
1970-71,32,VIR,ABA,,11,,0,,,,8,10,,,,,,,,30
1971-72,33,VIR,ABA,,12,,0,,,,6,7,,,,,,,,26
Career,,,TOT,,14,,,,,,8,12,,,,,,,,34
,,,NBA,,14,,,,,,8,12,,,,,,,,34
,,,ABA,,12,,0,,,,8,10,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,VIR,ABA,,12,,0,,,,8,10,,,,,,,,30
2 Seasons,,DET,NBA,,14,,,,,,8,12,,,,,,,,34
2 Seasons,,BAL,NBA,,9,,,,,,4,4,,,,,,,,22
