Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,10,NA,400,69,170,0.406,NA,NA,NA,69,170,0.406,0.406,35,67,0.522,NA,NA,145,43,NA,NA,39,173
1962-63,24,DET,NBA,PF,4,NA,155,27,77,0.351,NA,NA,NA,27,77,0.351,0.351,9,13,0.692,NA,NA,48,9,NA,NA,19,63
1968-69,30,BAL,NBA,PF,4,NA,137,23,52,0.442,NA,NA,NA,23,52,0.442,0.442,7,8,0.875,NA,NA,32,4,NA,NA,16,53
1969-70,31,BAL,NBA,PF,7,NA,90,11,34,0.324,NA,NA,NA,11,34,0.324,0.324,10,14,0.714,NA,NA,21,4,NA,NA,8,32
1970-71,32,VIR,ABA,C,12,NA,264,80,157,0.51,0,0,NA,80,157,0.51,0.51,47,56,0.839,19,59,78,21,NA,12,43,207
1971-72,33,VIR,ABA,PF,11,NA,212,52,105,0.495,0,0,NA,52,105,0.495,0.495,28,38,0.737,NA,NA,58,17,NA,16,25,132
Career,NA,,TOT,,48,NA,1258,262,595,0.44,0,0,NA,262,595,0.44,0.44,136,196,0.694,19,59,382,98,NA,28,150,660
,NA,,NBA,,25,NA,782,130,333,0.39,NA,NA,NA,130,333,0.39,0.39,61,102,0.598,NA,NA,246,60,NA,NA,82,321
,NA,,ABA,,23,NA,476,132,262,0.504,0,0,NA,132,262,0.504,0.504,75,94,0.798,19,59,136,38,NA,28,68,339
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,VIR,ABA,,23,NA,476,132,262,0.504,0,0,NA,132,262,0.504,0.504,75,94,0.798,19,59,136,38,NA,28,68,339
2 seasons,NA,DET,NBA,,14,NA,555,96,247,0.389,NA,NA,NA,96,247,0.389,0.389,44,80,0.55,NA,NA,193,52,NA,NA,58,236
2 seasons,NA,BAL,NBA,,11,NA,227,34,86,0.395,NA,NA,NA,34,86,0.395,0.395,17,22,0.773,NA,NA,53,8,NA,NA,24,85
