Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,75,NA,2087,370,956,0.387,NA,NA,NA,370,956,0.387,0.387,255,388,0.657,NA,NA,865,132,NA,NA,232,995
1962-63,24,DET,NBA,PF,76,NA,2538,460,1110,0.414,NA,NA,NA,460,1110,0.414,0.414,308,457,0.674,NA,NA,772,191,NA,NA,263,1228
1963-64,25,DET,NBA,PF,80,NA,2964,539,1307,0.412,NA,NA,NA,539,1307,0.412,0.412,328,456,0.719,NA,NA,1078,244,NA,NA,296,1406
1964-65,26,DET,NBA,PF,66,NA,2167,402,1092,0.368,NA,NA,NA,402,1092,0.368,0.368,220,314,0.701,NA,NA,634,239,NA,NA,209,1024
1965-66,27,DET,NBA,PF,79,NA,2652,544,1309,0.416,NA,NA,NA,544,1309,0.416,0.416,323,435,0.743,NA,NA,755,238,NA,NA,209,1411
1966-67,28,TOT,NBA,C-PF,72,NA,2446,458,1144,0.4,NA,NA,NA,458,1144,0.4,0.4,256,366,0.699,NA,NA,760,160,NA,NA,215,1172
1966-67,28,DET,NBA,C,45,NA,1477,252,681,0.37,NA,NA,NA,252,681,0.37,0.37,156,206,0.757,NA,NA,404,84,NA,NA,132,660
1966-67,28,BAL,NBA,PF,27,NA,969,206,463,0.445,NA,NA,NA,206,463,0.445,0.445,100,160,0.625,NA,NA,356,76,NA,NA,83,512
1967-68,29,BAL,NBA,PF,81,NA,2924,490,1189,0.412,NA,NA,NA,490,1189,0.412,0.412,348,447,0.779,NA,NA,1111,167,NA,NA,252,1328
1968-69,30,BAL,NBA,PF,82,NA,2168,386,929,0.416,NA,NA,NA,386,929,0.416,0.416,195,257,0.759,NA,NA,722,133,NA,NA,212,967
1969-70,31,BAL,NBA,PF,73,NA,1393,257,605,0.425,NA,NA,NA,257,605,0.425,0.425,139,173,0.803,NA,NA,457,114,NA,NA,147,653
1970-71,32,VIR,ABA,C,72,NA,1552,420,933,0.45,1,1,1,419,932,0.45,0.451,187,236,0.792,163,410,573,123,NA,137,180,1028
1971-72,33,VIR,ABA,PF,55,NA,818,163,393,0.415,2,4,0.5,161,389,0.414,0.417,89,114,0.781,71,181,252,40,NA,55,90,417
Career,NA,,TOT,,811,NA,23709,4489,10967,0.409,3,5,0.6,4486,10962,0.409,0.409,2648,3643,0.727,234,591,7979,1781,NA,192,2305,11629
,NA,,NBA,,684,NA,21339,3906,9641,0.405,NA,NA,NA,3906,9641,0.405,0.405,2372,3293,0.72,NA,NA,7154,1618,NA,NA,2035,10184
,NA,,ABA,,127,NA,2370,583,1326,0.44,3,5,0.6,580,1321,0.439,0.441,276,350,0.789,234,591,825,163,NA,192,270,1445
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,421,NA,13885,2567,6455,0.398,NA,NA,NA,2567,6455,0.398,0.398,1590,2256,0.705,NA,NA,4508,1128,NA,NA,1341,6724
4 seasons,NA,BAL,NBA,,263,NA,7454,1339,3186,0.42,NA,NA,NA,1339,3186,0.42,0.42,782,1037,0.754,NA,NA,2646,490,NA,NA,694,3460
2 seasons,NA,VIR,ABA,,127,NA,2370,583,1326,0.44,3,5,0.6,580,1321,0.439,0.441,276,350,0.789,234,591,825,163,NA,192,270,1445
