Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ray Scott,,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9
Antoine Carr,91.4,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Tom Van Arsdale,90.3,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1
Tim Thomas,90.0,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,0.9
Danny Ferry,88.6,5.6,5.5,4.1,3.9,3.6,2.7,1.7,1.7,1.3,1,1
John Johnson,88.3,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2
Clyde Lee,88.1,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.2,2.1,NA
Walt Williams,87.9,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7
Rodney Rogers,87.8,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2
Bingo Smith,87.8,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1
Ben Poquette,87.6,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA
