Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1961-62,23,DET,NBA,PF,10,NA,400,6.2,15.3,0.406,NA,NA,NA,6.2,15.3,0.406,3.2,6,0.522,NA,NA,13.1,3.9,NA,NA,3.5,15.6
1962-63,24,DET,NBA,PF,4,NA,155,6.3,17.9,0.351,NA,NA,NA,6.3,17.9,0.351,2.1,3,0.692,NA,NA,11.1,2.1,NA,NA,4.4,14.6
1968-69,30,BAL,NBA,PF,4,NA,137,6,13.7,0.442,NA,NA,NA,6,13.7,0.442,1.8,2.1,0.875,NA,NA,8.4,1.1,NA,NA,4.2,13.9
1969-70,31,BAL,NBA,PF,7,NA,90,4.4,13.6,0.324,NA,NA,NA,4.4,13.6,0.324,4,5.6,0.714,NA,NA,8.4,1.6,NA,NA,3.2,12.8
1970-71,32,VIR,ABA,C,12,NA,264,10.9,21.4,0.51,0,0,NA,10.9,21.4,0.51,6.4,7.6,0.839,2.6,8,10.6,2.9,NA,1.6,5.9,28.2
1971-72,33,VIR,ABA,PF,11,NA,212,8.8,17.8,0.495,0,0,NA,8.8,17.8,0.495,4.8,6.5,0.737,NA,NA,9.8,2.9,NA,2.7,4.2,22.4
Career,NA,,TOT,,48,NA,1258,7.5,17,0.44,0,0,NA,7.5,17,0.44,3.9,5.6,0.694,2.6,8,10.9,2.8,NA,2.1,4.3,18.9
,NA,,NBA,,25,NA,782,6,15.3,0.39,NA,NA,NA,6,15.3,0.39,2.8,4.7,0.598,NA,NA,11.3,2.8,NA,NA,3.8,14.8
,NA,,ABA,,23,NA,476,10,19.8,0.504,0,0,NA,10,19.8,0.504,5.7,7.1,0.798,2.6,8,10.3,2.9,NA,2.1,5.1,25.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,VIR,ABA,,23,NA,476,10,19.8,0.504,0,0,NA,10,19.8,0.504,5.7,7.1,0.798,2.6,8,10.3,2.9,NA,2.1,5.1,25.6
2 seasons,NA,DET,NBA,,14,NA,555,6.2,16,0.389,NA,NA,NA,6.2,16,0.389,2.9,5.2,0.55,NA,NA,12.5,3.4,NA,NA,3.8,15.3
2 seasons,NA,BAL,NBA,,11,NA,227,5.4,13.6,0.395,NA,NA,NA,5.4,13.6,0.395,2.7,3.5,0.773,NA,NA,8.4,1.3,NA,NA,3.8,13.5
