Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,23,DET,NBA,PF,75,2087,15.4,0.442,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0.057
1962-63,24,DET,NBA,PF,76,2538,15.1,0.468,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,3.5,0.066
1963-64,25,DET,NBA,PF,80,2964,16.9,0.466,NA,0.349,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,3.4,0.055
1964-65,26,DET,NBA,PF,66,2167,15,0.416,NA,0.288,NA,NA,NA,15.5,NA,NA,NA,NA,-1.6,2.9,1.3,0.029
1965-66,27,DET,NBA,PF,79,2652,17.1,0.47,NA,0.332,NA,NA,NA,12.8,NA,NA,NA,NA,1.9,3.4,5.3,0.096
1966-67,28,TOT,NBA,C-PF,72,2446,14.6,0.449,NA,0.32,NA,NA,NA,9,NA,NA,NA,NA,-0.4,2.8,2.4,0.047
1966-67,28,DET,NBA,C,45,1477,12.7,0.428,NA,0.302,NA,NA,NA,7.8,NA,NA,NA,NA,-1.1,1.9,0.8,0.024
1966-67,28,BAL,NBA,PF,27,969,17.5,0.48,NA,0.346,NA,NA,NA,10.8,NA,NA,NA,NA,0.7,0.9,1.6,0.08
1967-68,29,BAL,NBA,PF,81,2924,16,0.479,NA,0.376,NA,NA,NA,7.5,NA,NA,NA,NA,1.5,3.9,5.5,0.09
1968-69,30,BAL,NBA,PF,82,2168,14.9,0.464,NA,0.277,NA,NA,NA,7.9,NA,NA,NA,NA,0.7,3.8,4.5,0.099
1969-70,31,BAL,NBA,PF,73,1393,15.1,0.479,NA,0.286,NA,NA,NA,10.2,NA,NA,NA,NA,0.3,2.2,2.5,0.086
1970-71,32,VIR,ABA,C,72,1552,19.6,0.496,0.001,0.253,NA,NA,16.9,11.1,NA,11.7,26.7,NA,1.1,1.9,3,0.093
1971-72,33,VIR,ABA,PF,55,818,14.9,0.47,0.01,0.29,7.6,19.3,13.5,6.4,NA,11,21.9,NA,-0.2,1.1,0.9,0.052
Career,NA,,TOT,,811,23709,15.9,0.463,0,0.332,7.6,19.3,15.7,10.2,NA,11.5,25,NA,5.9,28.8,34.7,0.07
,NA,,NBA,,684,21339,15.7,0.459,NA,0.342,NA,NA,NA,10.4,NA,NA,NA,NA,5,25.8,30.8,0.069
,NA,,ABA,,127,2370,18,0.488,0.004,0.264,7.6,19.3,15.7,9.5,NA,11.5,25,NA,0.9,3,3.9,0.079
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,421,13885,15.7,0.451,NA,0.349,NA,NA,NA,12.6,NA,NA,NA,NA,1.8,15,16.8,0.058
4 seasons,NA,BAL,NBA,,263,7454,15.7,0.475,NA,0.325,NA,NA,NA,8.5,NA,NA,NA,NA,3.2,10.8,14.1,0.09
2 seasons,NA,VIR,ABA,,127,2370,18,0.488,0.004,0.264,7.6,19.3,15.7,9.5,NA,11.5,25,NA,0.9,3,3.9,0.079
