Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Paul Noel,,0.9,0.7,-0.1,-0.5,-0.8,NA
Jay Miller,-9.1,0.9,0.7,0.1,-0.3,NA,NA
Dontonio Wingfield,-19.1,0.9,0.9,0,-0.1,NA,NA
Timothé Luwawu-Cabarrot,-23.5,0.8,0.8,0.2,NA,NA,NA
James Wilkes,-27.0,1.1,0.8,0.1,NA,NA,NA
Alec Kessler,-27.2,1.2,0.8,0.1,-0.1,NA,NA
Mark Hendrickson,-28.8,0.9,0.8,0.3,0.1,NA,NA
Lou Tsioropoulos,-29.1,1.4,0.7,0,NA,NA,NA
Adrian Branch,-30.2,1.5,0.7,0,-0.1,NA,NA
Antonio Lang,-31.6,0.8,0.7,0.1,0.1,0,-0.1
Jérôme Moïso,-32.5,1.5,0.8,0.2,-0.1,-0.3,NA
