Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Paul Noel,,0.9,0.7,-0.1,-0.5,-0.8
Jay Miller,-9.1,0.9,0.7,0.1,-0.3,NA
Antonio Lang,-17.7,0.8,0.7,0.1,0.1,-0.1
Dontonio Wingfield,-19.1,0.9,0.9,0,-0.1,NA
Timothé Luwawu-Cabarrot,-23.5,0.8,0.8,0.2,NA,NA
James Wilkes,-27.0,1.1,0.8,0.1,NA,NA
Alec Kessler,-27.2,1.2,0.8,0.1,-0.1,NA
Mark Hendrickson,-28.8,0.9,0.8,0.3,0.1,NA
Lou Tsioropoulos,-29.1,1.4,0.7,0,NA,NA
Adrian Branch,-30.2,1.5,0.7,0,-0.1,NA
Jérôme Moïso,-32.5,1.5,0.8,0.2,-0.1,-0.3
