Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,23,NYK,BAA,NA,3,NA,NA,0,7,0,0,1,0,NA,0,4,0
1948-49,24,NYK,BAA,NA,4,NA,NA,5,12,0.417,4,5,0.8,NA,2,12,14
1949-50,25,NYK,NBA,NA,5,NA,NA,1,7,0.143,1,3,0.333,NA,1,8,3
1950-51,26,ROC,NBA,NA,9,NA,NA,7,18,0.389,5,7,0.714,9,1,11,19
Career,NA,,TOT,NA,21,NA,NA,13,44,0.295,10,16,0.625,9,4,35,36
,NA,,NBA,NA,14,NA,NA,8,25,0.32,6,10,0.6,9,2,19,22
,NA,,BAA,NA,7,NA,NA,5,19,0.263,4,6,0.667,NA,2,16,14
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,BAA,NA,12,NA,NA,6,26,0.231,5,9,0.556,NA,3,24,17
1 season,NA,ROC,NBA,NA,9,NA,NA,7,18,0.389,5,7,0.714,9,1,11,19
