,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,22,DAL,NBA,PG,33,191,100%,,,,,-7.4,-16.3,10,2,8,1,13,8,57,4,5
2007-08,23,DAL,NBA,PG,44,460,100%,,,,,+4.8,-0.4,16,12,22,4,16,12,135,5,13
2008-09,24,DAL,NBA,SG,79,1600,62%,39%,,,,+1.7,-1.3,57,33,50,8,40,44,609,5,41
2009-10,25,DAL,NBA,PG,78,1546,90%,10%,,,,-1.4,-7.0,57,33,49,5,34,48,579,10,31
2010-11,26,DAL,NBA,PG,81,1669,97%,3%,,,,+5.8,+1.8,70,46,42,9,79,53,713,25,43
2011-12,27,MIN,NBA,PG,41,1032,100%,,,,,-4.2,-3.2,64,29,14,7,40,35,530,8,27
2012-13,28,MIN,NBA,PG,74,1713,100%,,,,,-1.7,+0.9,74,47,35,14,39,34,655,12,46
2013-14,29,MIN,NBA,PG,79,1471,100%,,,,,-3.4,-9.3,78,27,40,12,38,18,674,9,43
2014-15,30,DAL,NBA,PG,77,1362,100%,,,,,+4.8,+2.7,45,16,35,4,34,25,593,6,33
2015-16,31,DAL,NBA,PG,74,1667,100%,,,,,-2.2,-3.5,51,44,28,6,35,34,690,9,45
2016-17,32,DAL,NBA,PG,35,771,93%,7%,,,,+0.2,+4.3,49,11,9,1,0,24,430,2,15
2017-18,33,DAL,NBA,PG,69,1603,100%,,,,,-0.9,+4.4,107,25,23,4,40,27,995,7,24
2018-19,34,DAL,NBA,PG,38,752,100%,,,,,+2.4,+5.1,44,17,9,7,26,21,500,7,13
2019-20,35,DAL,NBA,PG,26,391,100%,,,,,+3.5,-2.8,25,7,8,2,9,16,236,2,6
Career,,,NBA,,828,16228,95%,5%,,,,+0.2,-1.1,747,349,372,84,443,399,7396,111,385
,,,,,,,,,,,,,,,,,,,,,,
11 seasons,,DAL,NBA,,634,12012,93%,7%,,,,+1.3,-0.2,531,246,283,51,326,312,5537,82,269
3 seasons,,MIN,NBA,,194,4216,100%,,,,,-2.9,-3.7,216,103,89,33,117,87,1859,29,116
