,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,NYK,NBA,,10,,6,6,,,,,,,,23
1966-67,23,CHI,NBA,,9,20,4,5,,,9,4,,,6,21
1967-68,24,CHI,NBA,,11,,9,10,,,,,,,,29
1968-69,25,CHI,NBA,,8,20,5,6,,,16,6,,,6,19
1969-70,26,SEA,NBA,,9,,8,9,,,,,,,,20
1970-71,27,SEA,NBA,,8,,9,11,,,,,,,,20
1971-72,28,SEA,NBA,,9,,8,9,,,,,,,,26
1972-73,29,CLE,NBA,,11,17,4,6,,,9,7,,,5,24
1973-74,30,CLE,NBA,,7,11,5,6,,,17,6,,,6,18
1974-75,31,POR,NBA,,9,17,9,11,3,8,8,5,5,1,5,24
1975-76,32,POR,NBA,,10,14,6,6,5,5,6,5,4,3,5,20
Career,,,,,11,,9,11,,,,,,,,29
3 Seasons,,SEA,NBA,,9,,9,11,,,,,,,,26
3 Seasons,,CHI,NBA,,11,,9,10,,,,,,,,29
2 Seasons,,CLE,NBA,,11,17,5,6,,,17,7,,,6,24
2 Seasons,,POR,NBA,,10,17,9,11,5,8,8,5,5,3,5,24
1 Season,,NYK,NBA,,10,,6,6,,,,,,,,23
