Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1965-66,22,NYK,NBA,SF,70,877,10.7,0.442,0.199,NA,NA,NA,10.3,NA,NA,NA,-0.2,0.2,0.1,0.003,NA,NA,NA,NA,NA
1966-67,23,CHI,NBA,SF,60,986,10.4,0.455,0.203,NA,NA,NA,5.4,NA,NA,NA,0,1,0.9,0.045,NA,NA,NA,NA,NA
1967-68,24,CHI,NBA,SF,78,1631,13.3,0.487,0.254,NA,NA,NA,8.6,NA,NA,NA,1.2,1.6,2.8,0.081,NA,NA,NA,NA,NA
1968-69,25,CHI,NBA,SF,75,1444,10.9,0.404,0.199,NA,NA,NA,12.6,NA,NA,NA,-1.9,2,0.1,0.004,NA,NA,NA,NA,NA
1969-70,26,SEA,NBA,SF,78,1487,12.1,0.496,0.235,NA,NA,NA,10.3,NA,NA,NA,0.9,0.8,1.7,0.054,NA,NA,NA,NA,NA
1970-71,27,SEA,NBA,SF,78,1286,12.2,0.501,0.217,NA,NA,8.7,9.7,NA,NA,NA,1.2,0.6,1.8,0.068,NA,NA,NA,NA,NA
1971-72,28,SEA,NBA,SF,82,1447,12.4,0.554,0.186,NA,NA,9.5,6.3,NA,NA,NA,2.6,0.8,3.5,0.115,NA,NA,NA,NA,NA
1972-73,29,CLE,NBA,SF,72,1119,14.9,0.541,0.168,NA,NA,9.1,15.2,NA,NA,NA,2.2,1.3,3.5,0.15,NA,NA,NA,NA,NA
1973-74,30,CLE,NBA,SF,71,913,13.4,0.513,0.211,4.5,14.8,9.3,12.8,1.8,0.1,NA,0.9,0.7,1.6,0.086,NA,-1.7,0.2,-1.5,0.1
1974-75,31,POR,NBA,SF,77,952,13.2,0.499,0.169,3.8,13.5,8.9,11.7,3.3,0.1,NA,0.3,1.3,1.6,0.079,NA,-2.3,1.3,-0.9,0.3
1975-76,32,POR,NBA,SF,49,443,13.8,0.54,0.245,6.4,9.7,8.1,10.5,2.7,0.8,NA,0.6,0.5,1.1,0.116,NA,-0.6,1.2,0.6,0.3
Career,NA,,NBA,,790,12585,12.4,0.488,0.209,4.6,13.3,9,10.2,2.6,0.3,NA,7.7,10.9,18.6,0.071,NA,-1.7,0.8,-0.9,0.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,238,4220,12.2,0.515,0.214,NA,NA,9.1,8.8,NA,NA,NA,4.7,2.3,7,0.079,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,213,4061,11.7,0.449,0.221,NA,NA,NA,9.3,NA,NA,NA,-0.8,4.6,3.8,0.045,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,143,2032,14.2,0.528,0.188,4.5,14.8,9.2,14.1,1.8,0.1,NA,3.1,2.1,5.1,0.121,NA,-1.7,0.2,-1.5,0.1
2 seasons,NA,POR,NBA,,126,1395,13.3,0.511,0.191,4.6,12.3,8.6,11.3,3.1,0.3,NA,0.9,1.8,2.6,0.09,NA,-1.8,1.3,-0.5,0.5
1 season,NA,NYK,NBA,,70,877,10.7,0.442,0.199,NA,NA,NA,10.3,NA,NA,NA,-0.2,0.2,0.1,0.003,NA,NA,NA,NA,NA
