Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Barry Clemens,,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Greg Anderson,86.0,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA
Andrew DeClercq,85.3,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA
Mike Sanders,85.3,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
Sidney Green,84.7,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Andrea Bargnani,83.8,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
Francisco García,83.8,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
Duane Ferrell,83.2,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
J.R. Reid,82.9,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1
Corie Blount,82.6,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
Brad Lohaus,82.3,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
