Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,30,CLE,NBA,SF,71,NA,913,8.2,17.5,0.471,3.1,3.7,0.849,2.1,6.3,8.4,4,1.8,0.1,6.9,19.6,NA,NA,100
1974-75,31,POR,NBA,SF,77,NA,952,8.1,17.1,0.473,2.2,2.9,0.75,1.6,6.2,7.8,3.7,3.3,0.1,6.7,18.4,NA,NA,96
1975-76,32,POR,NBA,SF,49,NA,443,7,14.4,0.49,3.1,3.5,0.886,2.7,4.3,7,3.3,2.7,0.7,5.7,17.2,NA,NA,97
Career,NA,,NBA,,197,NA,2308,7.9,16.7,0.454,2.7,3.3,0.756,2,5.8,7.9,3.7,2.6,0.2,6.6,18.6,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,POR,NBA,,126,NA,1395,7.8,16.2,0.478,2.5,3.1,0.8,2,5.6,7.5,3.6,3.1,0.3,6.4,18,NA,NA,96
2 seasons,NA,CLE,NBA,,71,NA,913,8.2,17.5,0.495,3.1,3.7,0.816,2.1,6.3,8.4,4,1.8,0.1,6.9,19.6,NA,NA,100
3 seasons,NA,CHI,NBA,,0,NA,0,NA,NA,0.414,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,0,NA,0,NA,NA,0.412,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,0,NA,0,NA,NA,0.479,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
