Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,23,CHI,NBA,SF,3,20,8.6,0.424,1.75,NA,NA,NA,11.6,NA,NA,NA,0,0,0,-0.013,NA,NA,NA,NA,NA
1967-68,24,CHI,NBA,SF,4,45,14.9,0.563,0.25,NA,NA,NA,17.9,NA,NA,NA,0.1,0,0.2,0.163,NA,NA,NA,NA,NA
Career,NA,,NBA,,7,65,12.9,0.523,0.55,NA,NA,NA,15.9,NA,NA,NA,0.1,0,0.1,0.109,NA,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,7,65,12.9,0.523,0.55,NA,NA,NA,15.9,NA,NA,NA,0.1,0,0.1,0.109,NA,NA,NA,NA,NA
