Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luc Mbah a Moute,,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0
Austin Croshere,88.8,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0
Phil Jackson,88.5,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5
Nate Williams,88.2,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA
Shandon Anderson,87.9,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA
Ollie Johnson,87.8,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA
James Johnson,87.7,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA
Eduardo Nájera,87.7,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.2,0.1
Ron Anderson,87.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA
Malik Rose,87.2,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4,0.1
Chris Wilcox,86.8,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2
