Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Gordon Hayward,,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0
Nenê Hilário,91.6,10.8,9.6,9.3,6.1,5.3,5,3.2,0.3,-0.1
Lamar Odom,91.1,9.7,9.2,8.4,6.5,4.7,4.7,3.2,2.2,0.7
Kevin Willis,88.3,10.2,8.8,8.6,6,4.7,4.7,4.4,4.2,2.7
Derrick Coleman,87.7,9.9,9.5,5.8,5.6,5.1,4.4,3.3,2,-0.2
Draymond Green,86.1,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA
Bob Love,85.4,9.9,8.6,7.5,6.3,5.8,5.2,1,0.6,0.2
Terry Dischinger,85.3,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4
Red Robbins,85.0,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA
Bob Boozer,84.7,11.6,10.6,9.4,5.8,5.3,3.9,3.9,2.8,1.4
Vin Baker,84.6,10.4,8.3,6.2,5.8,4.4,3.5,2.2,1.8,0.4
