Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Gordon Hayward,,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA
Bob Love,87.5,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2
Draymond Green,86.1,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA,NA,NA
Terry Dischinger,85.3,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA
Red Robbins,85.0,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA
Bob Netolicky,83.2,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA
Calvin Natt,82.8,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0
Charles Smith,81.8,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Sidney Wicks,81.7,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
Larry Kenon,81.5,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA
Kenny Sears,81.5,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA
