Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ed Kalafat,,2.6,2.1,0.7,NA,NA,NA
Howie Schultz,88.1,3,2,0.6,NA,NA,NA
Gene Conley,87.4,2.8,2.1,0.4,0,0,-0.1
Henry Sims,85.3,2.1,2.1,0.4,0,NA,NA
Bob Christian,80.9,2.4,1.9,0.9,0.5,0,NA
Hasheem Thabeet,77.9,2.2,2,0.3,0.3,0,NA
Greg Stiemsma,75.7,2.7,1.7,1.5,0.1,NA,NA
Festus Ezeli,74.5,2.7,1.7,1.5,NA,NA,NA
Pete Cross,74.2,2.6,1.8,-0.2,NA,NA,NA
Vladimir Stepania,72.9,2.9,1.7,0.8,0.2,-0.1,-0.3
Joffrey Lauvergne,70.7,2.3,1.5,1.3,0.1,NA,NA
