Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,27,BOS,NBA,C,1,0,25:00,5,18,0.278,0,0,NA,6,6,1,6,10,2,0,2,1,3,16
1981-82,28,BOS,NBA,C,1,0,20:00,9,12,0.75,0,0,NA,3,4,0.75,0,7,1,0,2,1,2,21
1982-83,29,BOS,NBA,C,1,0,18:00,5,6,0.833,0,0,NA,3,4,0.75,0,3,0,1,1,1,2,13
1983-84,30,BOS,NBA,C,1,1,28:00,5,11,0.455,0,0,NA,2,4,0.5,4,15,2,3,0,4,1,12
1984-85,31,BOS,NBA,C,1,0,10:00,2,5,0.4,0,0,NA,0,0,NA,3,6,1,0,0,0,0,4
1985-86,32,BOS,NBA,C,1,0,7:00,0,0,NA,0,0,NA,0,2,0,0,1,0,0,1,1,0,0
1986-87,33,BOS,NBA,C,1,0,8:00,2,3,0.667,0,0,NA,0,0,NA,0,3,0,0,1,0,1,4
1989-90,36,BOS,NBA,C,1,0,21:00,7,11,0.636,0,0,NA,0,1,0,2,4,2,0,1,1,4,14
1990-91,37,BOS,NBA,C,1,0,5:00,1,2,0.5,0,0,NA,0,0,NA,1,4,0,0,0,1,2,2
Career,NA,,NBA,,9,1,142,36,68,0.529,0,0,NA,14,21,0.667,16,53,8,4,8,10,15,86
