Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Robert Parish,,10.9,10.8,10.5,10.5,10,10,9.2,9.2,9,7.8,7.4,7.1,6.8,6.4,4.8,4.6,4,4,1.7,1.4,0.9
Dikembe Mutombo,87.1,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2,NA,NA,NA
Wes Unseld,86.4,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA
Bill Laimbeer,83.1,10.8,10.5,10.1,9.8,9.2,9,8.8,8.5,8,5.4,5.4,4.9,4.7,0.5,NA,NA,NA,NA,NA,NA,NA
Jack Sikma,82.8,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8,7.8,7.4,5.4,5,3.5,NA,NA,NA,NA,NA,NA,NA
Bob Lanier,82.1,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,NA,NA,NA,NA,NA,NA,NA
Hakeem Olajuwon,81.4,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,5,4.5,2.1,1.6,NA,NA,NA
Patrick Ewing,80.9,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3,2,1.4,NA,NA,NA,NA
Dwight Howard,79.0,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8,7.7,7.6,7.3,6.8,6.6,3.6,0.6,NA,NA,NA,NA,NA,NA
Dan Issel,76.4,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3,NA,NA,NA,NA,NA,NA
Moses Malone,76.0,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,7.8,7.7,6.1,5.6,1.9,1,0.3,0.1
