Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Orlando Johnson,,1.5,0.1,-0.2,NA,NA,NA
Bernard Robinson,65.9,1.7,0.3,0.1,NA,NA,NA
Greg Grant,65.6,1.4,0.2,0,0,0,-0.1
Bobby Wilson,64.3,1.6,0.2,0,-0.1,NA,NA
Nate Wolters,62.3,1.2,-0.1,-0.2,NA,NA,NA
John Kuester,62.2,1.9,0.1,0,NA,NA,NA
Ray Corley,61.7,1.2,0,-0.4,NA,NA,NA
Charles Smith,61.3,1.1,0,-0.2,NA,NA,NA
Stan Noszka,61.0,1.8,0.4,-0.2,NA,NA,NA
Cliff Barker,57.6,2.2,0.1,-0.2,NA,NA,NA
Bobby Washington,57.4,1.5,0.7,0,NA,NA,NA
