Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Paul Neumann,,6.5,5.8,4.6,4.2,4,3.2,NA,NA,NA
Bill Keller,87.4,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA
Brandon Jennings,84.4,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1
Patrick Beverley,83.9,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA
Willie Anderson,83.7,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1
Odie Spears,83.6,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA
Kentavious Caldwell-Pope,83.5,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA
Ricky Rubio,83.2,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA
George King,83.0,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA
Geoff Petrie,82.9,6.2,5.4,5.3,4.6,4.5,0.1,NA,NA,NA
Ron Williams,82.1,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA
