,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,24,SYR,NBA,,7,,6,,,,,19
1962-63,25,SYR,NBA,,8,,7,,,,,20
1963-64,26,PHI,NBA,,14,,9,10,,,,33
1964-65,27,TOT,NBA,,10,19,10,11,11,10,6,25
1964-65,27,PHI,NBA,,9,19,10,11,11,10,6,25
1964-65,27,SFW,NBA,,10,16,8,10,8,6,6,25
1965-66,28,SFW,NBA,,11,,14,16,,,,28
1966-67,29,SFW,NBA,,13,,10,12,,,,30
Career,,,,,14,,14,,,,,33
4 Seasons,,"PHI,SYR",NBA,,14,,10,,,,,33
3 Seasons,,SFW,NBA,,13,,14,16,,,,30
