Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Paul Neumann,,6.5,5.8,4.6,4.2,4,3.2
Brandon Jennings,92.8,5.8,5.5,4.2,3.9,3.9,3.3
Nate McMillan,92.8,6.5,4.9,4.4,4.1,3.7,2.8
Darren Collison,92.7,5.9,5.6,4.3,3.8,3.8,2.9
Bill Keller,92.0,6.1,5.4,4.4,4,3.6,2.7
Jameer Nelson,90.9,6,5.6,5,4.9,4,2.5
Johnny Davis,89.1,5.7,5.2,5.1,4.4,4.3,2.5
Odie Spears,89.0,5.6,5.2,4.7,3.8,3.3,3.1
Muggsy Bogues,88.6,6.7,5.9,4.8,4.8,2.6,2.3
Jason Richardson,87.5,7.3,5.7,5.2,3.7,3,2.9
Brian Winters,86.9,6.2,6,5.1,5,4.2,1.1
