Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
George Johnson,,2.4,0.3,0.2,0.1,NA,NA,NA,NA,NA
Sean Williams,80.8,2.5,0.4,0.3,-0.2,NA,NA,NA,NA,NA
Deyonta Davis,75.7,2.7,0.5,0.4,NA,NA,NA,NA,NA,NA
Dave Hoppen,73.2,2.6,0.8,0.2,0,0,-0.1,NA,NA,NA
Evan Eschmeyer,71.4,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
Jack Haley,71.1,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
Chris Anstey,62.6,1.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Bevo Nordmann,61.6,1.7,0.1,0.1,0,NA,NA,NA,NA,NA
Michael Stewart,60.6,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1,NA
Wang Zhizhi,56.0,1.5,0.2,0.1,0.1,0.1,NA,NA,NA,NA
John Shasky,53.8,1.9,0.7,-0.1,NA,NA,NA,NA,NA,NA
