,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,23,BAL,NBA,,6,10,,,,,2,5,,,13,2,,,,6,13
1971-72,24,DLC,ABA,,8,,0,,,,4,7,,,,,,,,,18
1972-73,25,HOU,NBA,,3,,,,,,2,2,,,,,,,,,6
1973-74,26,HOU,NBA,,4,,,,,,3,7,,,,,,,,,8
Career,,,TOT,,8,,,,,,4,7,,,,,,,,,18
,,,NBA,,6,,,,,,3,7,,,,,,,,,13
,,,ABA,,8,,0,,,,4,7,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,
1 Season,,DLC,ABA,,8,,0,,,,4,7,,,,,,,,,18
2 Seasons,,HOU,NBA,,4,,,,,,3,7,,,,,,,,,8
1 Season,,BAL,NBA,,6,10,,,,,2,5,,,13,2,,,,6,13
