Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,24,UTA,NBA,PF,1,1,33:00,9,19,0.474,0,0,NA,4,5,0.8,4,10,2,2,0,3,4,22
1988-89,25,UTA,NBA,PF,1,1,26:00,12,17,0.706,0,0,NA,4,6,0.667,4,9,3,2,0,2,3,28
1989-90,26,UTA,NBA,PF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-91,27,UTA,NBA,PF,1,1,31:00,6,11,0.545,0,0,NA,4,6,0.667,4,11,4,1,1,3,1,16
1991-92,28,UTA,NBA,PF,1,1,19:00,5,7,0.714,0,0,NA,1,2,0.5,0,7,3,1,1,1,1,11
1992-93,29,UTA,NBA,PF,1,1,34:00,11,17,0.647,0,0,NA,6,9,0.667,3,10,0,1,2,3,3,28
1993-94,30,UTA,NBA,PF,1,1,21:00,3,9,0.333,0,0,NA,0,0,NA,3,7,2,1,0,1,2,6
1994-95,31,UTA,NBA,PF,1,0,16:00,6,6,1,0,0,NA,3,4,0.75,0,3,1,0,0,1,0,15
1995-96,32,UTA,NBA,PF,1,0,20:00,2,6,0.333,0,0,NA,7,8,0.875,0,9,2,1,0,1,1,11
1996-97,33,UTA,NBA,PF,1,1,20:00,2,8,0.25,0,0,NA,0,0,NA,1,4,0,1,1,0,0,4
1997-98,34,UTA,NBA,PF,1,1,17:00,2,4,0.5,0,0,NA,0,0,NA,0,3,2,2,0,0,1,4
1999-00,36,UTA,NBA,PF,1,0,3:00,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
2000-01,37,UTA,NBA,PF,1,0,4:00,0,2,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0
2001-02,38,UTA,NBA,PF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,12,8,244,58,107,0.542,0,0,NA,29,40,0.725,19,74,19,12,5,15,16,145
