Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Carey Scurry,,2.6,1.8,0.9,NA,NA
Al Eberhard,97.7,2.6,1.8,0.9,0,NA
Dave Sorenson,89.1,2.6,2.1,0.7,NA,NA
Cheick Diallo,88.7,2.6,1.9,0.5,NA,NA
Cliff Pondexter,84.8,2.2,1.5,1,NA,NA
Sam Pellom,83.8,2.2,1.8,0.7,0,NA
Bob Bedell,82.9,2.4,2.2,0.8,0.1,NA
Juan Hernangómez,82.4,3,1.8,0.4,NA,NA
Derrick Brown,81.1,2.3,1.3,1,NA,NA
Sam Young,80.8,2.9,1.2,0.9,0.2,NA
Darius Miller,80.4,3,1.6,0.8,0.5,-0.1
