,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,23,BOS,NBA,,7,,8,9,,,,,,,,18
1965-66,24,BOS,NBA,,9,,9,10,,,,,,,,23
1966-67,25,TOT,NBA,,9,,7,8,,,,,,,,20
1966-67,25,BAL,NBA,,7,,7,8,,,,,,,,15
1966-67,25,LAL,NBA,,9,,4,5,,,,,,,,20
1967-68,26,LAL,NBA,,13,,8,10,,,,,,,,30
1968-69,27,LAL,NBA,,12,,7,12,,,,,,,,31
1969-70,28,LAL,NBA,,14,,6,7,,,,,,,,31
1970-71,29,PHO,NBA,,14,29,9,11,,,17,6,,,6,29
1971-72,30,PHO,NBA,,7,17,6,8,,,12,,,,,19
1972-73,31,TOT,NBA,,9,,5,6,,,,,,,,20
1972-73,31,PHI,NBA,,2,5,0,0,,,5,2,,,2,4
1972-73,31,LAL,NBA,,9,,5,6,,,,,,,,20
1973-74,32,LAL,NBA,,7,17,2,5,,,13,5,,,6,16
1974-75,33,NOJ,NBA,,9,,6,7,,,,,,,,20
1975-76,34,NOJ,NBA,,7,,4,4,,,,,,,,16
Career,,,,,14,,9,12,,,,,,,,31
6 Seasons,,LAL,NBA,,14,,8,12,,,,,,,,31
2 Seasons,,PHO,NBA,,14,29,9,11,,,17,,,,,29
2 Seasons,,BOS,NBA,,9,,9,10,,,,,,,,23
2 Seasons,,NOJ,NBA,,9,,6,7,,,,,,,,20
1 Season,,BAL,NBA,,7,,7,8,,,,,,,,15
1 Season,,PHI,NBA,,2,5,0,0,,,5,2,,,2,4
