Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1964-65,23,BOS,NBA,C,54,572,13.5,0.424,0.272,NA,NA,NA,4.4,NA,NA,NA,-0.4,1.8,1.5,0.123,NA,NA,NA,NA,NA
1965-66,24,BOS,NBA,C,67,1021,16.4,0.459,0.264,NA,NA,NA,7.1,NA,NA,NA,0.3,2.6,2.9,0.137,NA,NA,NA,NA,NA
1966-67,25,TOT,NBA,C,56,860,13.9,0.459,0.224,NA,NA,NA,8.1,NA,NA,NA,0.1,0.9,1,0.054,NA,NA,NA,NA,NA
1966-67,25,BAL,NBA,C,25,343,13.9,0.431,0.24,NA,NA,NA,11.7,NA,NA,NA,-0.2,0.4,0.2,0.021,NA,NA,NA,NA,NA
1966-67,25,LAL,NBA,C,31,517,13.8,0.479,0.214,NA,NA,NA,5.7,NA,NA,NA,0.3,0.5,0.8,0.075,NA,NA,NA,NA,NA
1967-68,26,LAL,NBA,PF,82,1739,18.4,0.521,0.314,NA,NA,NA,10.8,NA,NA,NA,3,2,5,0.139,NA,NA,NA,NA,NA
1968-69,27,LAL,NBA,PF,77,1866,16.5,0.497,0.255,NA,NA,NA,8.5,NA,NA,NA,2.3,1.9,4.3,0.11,NA,NA,NA,NA,NA
1969-70,28,LAL,NBA,C,81,2193,13.9,0.463,0.198,NA,NA,NA,10,NA,NA,NA,-0.5,3.2,2.7,0.06,NA,NA,NA,NA,NA
1970-71,29,PHO,NBA,C,80,1669,15.8,0.496,0.248,NA,NA,13.8,12.2,NA,NA,NA,1.7,2.5,4.2,0.121,NA,NA,NA,NA,NA
1971-72,30,PHO,NBA,C,76,906,13.8,0.487,0.407,NA,NA,13.6,14.3,NA,NA,NA,0.5,1.4,1.9,0.101,NA,NA,NA,NA,NA
1972-73,31,TOT,NBA,C,66,658,16.3,0.474,0.197,NA,NA,17.5,13.3,NA,NA,NA,0.3,1.2,1.5,0.111,NA,NA,NA,NA,NA
1972-73,31,PHI,NBA,C,7,47,6.2,0.313,0,NA,NA,15.2,8.3,NA,NA,NA,-0.1,0,-0.1,-0.103,NA,NA,NA,NA,NA
1972-73,31,LAL,NBA,C,59,611,17.1,0.483,0.209,NA,NA,17.7,13.7,NA,NA,NA,0.4,1.2,1.6,0.127,NA,NA,NA,NA,NA
1973-74,32,LAL,NBA,C,45,499,11.4,0.402,0.198,10.7,15.9,13.4,14,1.7,2.2,NA,-0.4,0.7,0.3,0.031,NA,-3,0.8,-2.2,0
1974-75,33,NOJ,NBA,C,75,1421,14.8,0.477,0.228,7,24.7,15.5,18.7,1.5,1.6,NA,0.2,1.8,2,0.069,NA,-0.9,1.1,0.2,0.8
1975-76,34,NOJ,NBA,C,30,319,12.2,0.449,0.231,8.3,23,15.6,16.4,2.3,1.3,NA,-0.1,0.6,0.4,0.062,NA,-3.6,1.9,-1.7,0
Career,NA,,NBA,,789,13723,15.3,0.479,0.254,8,22.5,14.7,11.2,1.7,1.7,NA,7,20.7,27.7,0.097,NA,-1.8,1.2,-0.6,0.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,LAL,NBA,,375,7425,15.7,0.486,0.242,10.7,15.9,15.7,10.1,1.7,2.2,NA,5.2,9.6,14.8,0.095,NA,-3,0.8,-2.2,0
2 seasons,NA,PHO,NBA,,156,2575,15.1,0.493,0.296,NA,NA,13.7,12.9,NA,NA,NA,2.2,3.9,6.1,0.114,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,121,1593,15.4,0.447,0.267,NA,NA,NA,6.1,NA,NA,NA,-0.1,4.5,4.4,0.132,NA,NA,NA,NA,NA
2 seasons,NA,NOJ,NBA,,105,1740,14.3,0.473,0.229,7.2,24.4,15.6,18.3,1.6,1.6,NA,0.1,2.4,2.5,0.068,NA,-1.4,1.3,-0.1,0.8
1 season,NA,BAL,NBA,,25,343,13.9,0.431,0.24,NA,NA,NA,11.7,NA,NA,NA,-0.2,0.4,0.2,0.021,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,7,47,6.2,0.313,0,NA,NA,15.2,8.3,NA,NA,NA,-0.1,0,-0.1,-0.103,NA,NA,NA,NA,NA
