Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,32,LAL,NBA,C,45,NA,499,5.3,14.4,0.365,2.1,2.8,0.727,4.8,7.8,12.6,4.7,1.7,2,7.3,12.6,NA,NA,95
1974-75,33,NOJ,NBA,C,75,NA,1421,6.7,15.3,0.438,2.7,3.5,0.761,3.1,10.5,13.6,5.6,1.5,1.3,6.1,16.1,NA,NA,96
1975-76,34,NOJ,NBA,C,30,NA,319,5.2,12.8,0.407,2.3,3,0.762,3.8,10.3,14.1,5.4,2.3,1.1,10.4,12.7,NA,NA,93
Career,NA,,NBA,,150,NA,2239,6.2,14.7,0.435,2.5,3.3,0.764,3.6,9.8,13.4,5.4,1.7,1.4,6.9,14.8,NA,NA,95
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOJ,NBA,,105,NA,1740,6.4,14.8,0.433,2.6,3.4,0.761,3.3,10.4,13.7,5.6,1.6,1.3,6.8,15.5,NA,NA,95
6 seasons,NA,LAL,NBA,,45,NA,499,5.3,14.4,0.445,2.1,2.8,0.764,4.8,7.8,12.6,4.7,1.7,2,7.3,12.6,NA,NA,95
2 seasons,NA,BOS,NBA,,0,NA,0,NA,NA,0.391,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,0,NA,0,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,0,NA,0,NA,NA,0.448,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BAL,NBA,,0,NA,0,NA,NA,0.389,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
