Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Darius Morris,,0.2,0,-0.2,-0.4
Dave Jamerson,40.2,0.2,0.1,-0.1,NA
A.J. Guyton,26.4,0.3,0.1,-0.1,NA
Gerald Madkins,9.6,0.3,0.1,0,NA
Dominique Jones,9.3,0.2,0,0,NA
Charles Bradley,6.9,0.2,0.2,-0.1,NA
Manny Harris,6.2,0.3,0,0,-0.2
Michael Phelps,4.1,0.3,0.1,-0.1,NA
Michael Hawkins,0.4,0.2,0,0,0
Brad Holland,-2.0,0.3,0.1,-0.1,NA
Billy Thomas,-12.4,0.4,0.2,-0.1,NA
