Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Darius Morris,,0.2,0,-0.2,-0.4
Dave Jamerson,40.2,0.2,0.1,-0.1,NA
Michael Hawkins,37.8,0.2,0,0,NA
A.J. Guyton,26.4,0.3,0.1,-0.1,NA
Rusty LaRue,16.1,0.3,0.1,-0.1,NA
Kevin Pritchard,10.7,0.2,0.2,-0.2,NA
Gerald Madkins,9.6,0.3,0.1,0,NA
Dominique Jones,9.3,0.2,0,0,NA
Randy Livingston,9.3,0.3,0.1,0,NA
Charles Bradley,6.9,0.2,0.2,-0.1,NA
Sedric Toney,6.2,0.3,0,-0.1,NA
