Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,NA,MNM,ABA,SF,63,NA,1191,165,453,0.364,0,0,NA,165,453,0.364,0.364,170,253,0.672,NA,NA,471,91,78,169,500
Career,NA,,ABA,,63,NA,1191,165,453,0.364,0,0,NA,165,453,0.364,0.364,170,253,0.672,NA,NA,471,91,78,169,500
