Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mario Hezonja,,2.3,0.9,-0.1,-0.7
Chris Copeland,70.9,2.1,1,-0.1,-0.1
Tariq Abdul-Wahad,68.2,2.2,1.4,-0.2,-0.4
Dick Gibbs,67.9,2.1,0.4,-0.1,-0.6
Bruce Bowen,65.9,2.2,1.2,0,0
Ryan Kelly,65.3,2.2,0.7,0.1,0.1
Charlie Hardnett,64.8,2.3,1,-0.3,NA
James Johnson,64.0,2.6,0.8,0.6,-0.5
Kevin Séraphin,63.8,2.3,0.8,0.2,0.1
Bernard Thompson,62.2,2.1,0.9,0.2,0.1
Jim Bradley,60.6,2.3,1.3,0.1,NA
