Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Zendon Hamilton,,1.8,1.1,0.1,0.1,0,0
Audie Norris,80.0,1.9,1.1,-0.1,NA,NA,NA
Justin Hamilton,73.4,2.1,1.5,0.1,NA,NA,NA
Gene Tormohlen,72.0,1.4,0.8,0.1,0,0,0
Chris Anstey,70.6,1.9,0.6,0.3,NA,NA,NA
Earl Williams,68.7,1.3,1,0.4,0,NA,NA
John Shasky,67.8,1.9,0.7,-0.1,NA,NA,NA
Jawann Oldham,66.9,1.3,1,0.5,0.3,0,0
Robert Sacre,64.1,1.4,0.8,0.3,-0.1,NA,NA
Mike Novak,63.7,1.8,0.6,-0.2,NA,NA,NA
Rich Johnson,63.6,1.2,0.9,0.1,NA,NA,NA
