Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
D.J. White,,1.8,0.8,0.6,0.4,0.2,0
Stanley Johnson,87.9,1.8,0.6,0.5,0.4,NA,NA
Byron Houston,87.8,1.8,0.9,0.7,0.5,NA,NA
Tellis Frank,81.9,2,1.1,0.6,0.3,0.1,NA
Julian Wright,81.9,1.7,0.8,0.8,0.6,NA,NA
Tony Brown,78.9,1.8,1.3,0.5,0.2,0.2,0
Billy Schaeffer,78.3,1.9,0.8,0.5,NA,NA,NA
Cliff Meely,78.1,1.8,1.2,1,0.4,0.2,NA
Bob Portman,77.5,1.9,1.2,0.8,0.5,NA,NA
Reggie Slater,76.4,1.8,1.5,0.8,0.4,0.2,-0.1
Jarell Martin,76.2,1.3,0.8,0.6,0.5,NA,NA
