Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Scott Burrell,,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Ron Brewer,91.6,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA
Malik Sealy,89.2,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA
Randy Wittman,89.1,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA
Luther Head,87.2,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA,NA
Elliot Perry,86.3,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
Will Barton,84.9,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA,NA
Aaron Brooks,84.6,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1
Mitchell Wiggins,84.3,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA,NA
Slick Watts,82.4,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Erick Strickland,82.3,4.9,3.8,2.7,1.3,0.8,0.8,0.3,-0.3,-0.9,NA
