Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,DLC,ABA,SG,7,NA,196,38,85,0.447,0,4,0,38,81,0.469,0.447,21,25,0.84,NA,NA,22,27,NA,NA,20,25,97
1969-70,23,DLC,ABA,SG,6,NA,193,46,97,0.474,3,8,0.375,43,89,0.483,0.49,15,21,0.714,NA,NA,27,27,NA,NA,22,27,110
1970-71,24,UTS,ABA,SG,18,NA,569,113,256,0.441,9,27,0.333,104,229,0.454,0.459,74,86,0.86,50,60,110,94,NA,NA,56,71,309
1971-72,25,UTS,ABA,SG,11,NA,209,50,105,0.476,1,5,0.2,49,100,0.49,0.481,25,29,0.862,NA,NA,24,26,NA,NA,24,30,126
1972-73,26,UTS,ABA,SG,10,NA,360,68,135,0.504,0,3,0,68,132,0.515,0.504,33,34,0.971,17,26,43,47,NA,NA,39,41,169
1973-74,27,UTS,ABA,SG,18,NA,747,137,289,0.474,0,7,0,137,282,0.486,0.474,34,37,0.919,48,60,108,109,30,4,47,54,308
1974-75,28,UTS,ABA,SG,6,NA,219,54,127,0.425,0,0,NA,54,127,0.425,0.425,34,38,0.895,9,15,24,41,14,6,27,22,142
1978-79,32,LAL,NBA,SG,8,NA,226,37,77,0.481,NA,NA,NA,37,77,0.481,0.481,20,21,0.952,7,8,15,14,9,0,14,28,94
Career,NA,,TOT,,84,NA,2719,543,1171,0.464,13,54,0.241,530,1117,0.474,0.469,256,291,0.88,131,169,373,385,53,10,249,298,1355
,NA,,ABA,,76,NA,2493,506,1094,0.463,13,54,0.241,493,1040,0.474,0.468,236,270,0.874,124,161,358,371,44,10,235,270,1261
,NA,,NBA,,8,NA,226,37,77,0.481,NA,NA,NA,37,77,0.481,0.481,20,21,0.952,7,8,15,14,9,0,14,28,94
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,UTS,ABA,,63,NA,2104,422,912,0.463,10,42,0.238,412,870,0.474,0.468,200,224,0.893,124,161,309,317,44,10,193,218,1054
2 seasons,NA,DLC,ABA,,13,NA,389,84,182,0.462,3,12,0.25,81,170,0.476,0.47,36,46,0.783,NA,NA,49,54,NA,NA,42,52,207
1 season,NA,LAL,NBA,,8,NA,226,37,77,0.481,NA,NA,NA,37,77,0.481,0.481,20,21,0.952,7,8,15,14,9,0,14,28,94
