,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1968-69,22,DLC,ABA,,15,,1,,,,12,16,,,,,,,,,35,
1969-70,23,DLC,ABA,,12,,3,,,,11,12,,,,,,,,,33,
1970-71,24,TOT,ABA,,16,,4,,,,10,12,,,,,,,,,35,
1970-71,24,TEX,ABA,,16,,4,,,,10,12,,,,,,,,,35,
1970-71,24,UTS,ABA,,11,,3,,,,7,10,,,,,,,,,29,
1971-72,25,UTS,ABA,,13,,1,,,,10,12,,,,,,,,,34,
1972-73,26,UTS,ABA,,14,,1,,,,14,18,,,,,,,,,34,
1973-74,27,UTS,ABA,,16,,1,,,,10,13,,,,,,,,,38,
1974-75,28,UTS,ABA,,19,,2,,,,12,12,,,,,,,,,42,
1975-76,29,TOT,ABA,,17,,2,,,,11,14,,,,,,,,,42,
1975-76,29,UTS,ABA,,17,,1,,,,10,14,,,,,,,,,42,
1975-76,29,SSL,ABA,,14,,2,,,,11,13,,,,,,,,,31,
1976-77,30,KCK,NBA,,15,,,,,,13,15,,,,,,,,,43,
1977-78,31,KCK,NBA,,15,,,,,,11,13,,,,,,,,,40,
1978-79,32,LAL,NBA,,9,,,,,,6,8,,,,,,,,,18,
1979-80,33,TOT,NBA,,16,,2,,,,8,9,,,,,,,,,35,
1979-80,33,LAL,NBA,,5,9,0,0,5,9,2,2,2,2,4,3,,0,5,4,10,
1979-80,33,UTA,NBA,,16,,2,,,,8,9,,,,,,,,,35,
1980-81,34,UTA,NBA,,7,,2,,,,6,7,,,,,,,,,18,
Career,,,TOT,,19,,,,,,14,18,,,,,,,,,43,
,,,NBA,,16,,,,,,13,15,,,,,,,,,43,
,,,ABA,,19,,4,,,,14,18,,,,,,,,,42,
,,,,,,,,,,,,,,,,,,,,,,
6 Seasons,,UTS,ABA,,19,,3,,,,14,18,,,,,,,,,42,
3 Seasons,,"DLC,TEX",ABA,,16,,4,,,,12,16,,,,,,,,,35,
2 Seasons,,KCK,NBA,,15,,,,,,13,15,,,,,,,,,43,
2 Seasons,,UTA,NBA,,16,,2,,,,8,9,,,,,,,,,35,
2 Seasons,,LAL,NBA,,9,,,,,,6,8,,,,,,,,,18,
1 Season,,SSL,ABA,,14,,2,,,,11,13,,,,,,,,,31,
