Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Andrew DeClercq,,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA,NA
Greg Anderson,91.4,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA,NA
Omri Casspi,86.9,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA,NA
J.R. Reid,86.6,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,NA
Barry Clemens,85.3,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1,NA
Sidney Green,85.3,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA,NA
Othella Harrington,84.7,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0
Matt Bullard,84.5,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1,NA
Pat Cummings,84.1,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Michael Curry,82.4,3.2,2.9,2.3,2,2,1.7,1.7,1.6,0.3,0.3,-0.2,NA
Francisco García,82.4,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA,NA
