Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Aaron McKie,,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,2,1.6,1.4,0.1,0.1,NA
Spud Webb,92.3,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2,-0.1,NA,NA
Jason Williams,92.0,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2,NA,NA
Al Attles,90.9,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,NA,NA,NA
Johnny Davis,90.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA,NA,NA,NA
John Paxson,88.9,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,NA,NA,NA
Luke Ridnour,88.7,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1,NA,NA
Brian Winters,86.0,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA,NA,NA
Jarrett Jack,85.8,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0,NA
Craig Ehlo,85.4,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0
Jim Barnett,85.3,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA,NA,NA
