Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Darrin Hancock,,0.5,0.4,0.2,NA,NA
Jordan McRae,88.0,0.5,0.4,0.2,NA,NA
Kennard Winchester,85.0,0.5,0.4,0.3,NA,NA
K.J. McDaniels,81.4,0.6,0.5,0.2,NA,NA
Mario West,73.6,0.5,0.4,0.3,0.2,NA
Anthony Jones,67.8,0.5,0.3,0,NA,NA
Julyan Stone,67.8,0.4,0.3,0.2,0.1,NA
Paul Long,66.6,0.5,0.3,0.2,-0.2,NA
DeAndre Liggins,64.1,0.6,0.5,0.5,0,0
James White,63.8,0.5,0.3,0,NA,NA
Markel Brown,63.4,0.6,0.5,0,NA,NA
